t,euler,rk2,rk4,
0.000000,100.000000,100.000000,100.000000,
0.040000,96.000000,96.080000,96.078944,
0.080000,92.160000,92.313664,92.311635,
0.120000,88.473600,88.694969,88.692044,
0.160000,84.934656,85.218126,85.214380,
0.200000,81.537270,81.877575,81.873076,
0.240000,78.275779,78.667975,78.662787,
0.280000,75.144748,75.584190,75.578375,
0.320000,72.138958,72.621290,72.614905,
0.360000,69.253400,69.774535,69.767634,
0.400000,66.483264,67.039374,67.032006,
0.440000,63.823934,64.411430,64.403643,
0.480000,61.270976,61.886502,61.878340,
0.520000,58.820137,59.460551,59.452056,
0.560000,56.467332,57.129698,57.120908,
0.600000,54.208639,54.890214,54.881165,
0.640000,52.040293,52.738517,52.729244,
0.680000,49.958682,50.671168,50.661701,
0.720000,47.960334,48.684858,48.675227,
0.760000,46.041921,46.776411,46.766644,
0.800000,44.200244,44.942776,44.932898,
0.840000,42.432234,43.181019,43.171054,
0.880000,40.734945,41.488323,41.478293,
0.920000,39.105547,39.861981,39.851906,
0.960000,37.541326,38.299392,38.289290,
1.000000,36.039673,36.798055,36.787946,
1.040000,34.598086,35.355572,35.345470,
1.080000,33.214162,33.969633,33.959554,
1.120000,31.885596,32.638024,32.627981,
1.160000,30.610172,31.358613,31.348620,
1.200000,29.385765,30.129356,30.119423,
1.240000,28.210335,28.948285,28.938423,
1.280000,27.081921,27.813512,27.803732,
1.320000,25.998644,26.723223,26.713532,
1.360000,24.958699,25.675672,25.666079,
1.400000,23.960351,24.669186,24.659698,
1.440000,23.001937,23.702154,23.692777,
1.480000,22.081859,22.773029,22.763770,
1.520000,21.198585,21.880327,21.871190,
1.560000,20.350642,21.022618,21.013609,
1.600000,19.536616,20.198531,20.189653,
1.640000,18.755151,19.406749,19.398006,
1.680000,18.004945,18.646004,18.637399,
1.720000,17.284747,17.915081,17.906616,
1.760000,16.593358,17.212810,17.204488,
1.800000,15.929623,16.538068,16.529890,
1.840000,15.292438,15.889775,15.881744,
1.880000,14.680741,15.266896,15.259012,
1.920000,14.093511,14.668434,14.660697,
1.960000,13.529771,14.093431,14.085843,
2.000000,12.988580,13.540969,13.533530,
2.040000,12.469037,13.010163,13.002872,
2.080000,11.970275,12.500165,12.493022,
2.120000,11.491464,12.010158,12.003164,
2.160000,11.031806,11.539360,11.532513,
2.200000,10.590534,11.087017,11.080317,
2.240000,10.166912,10.652406,10.645851,
2.280000,9.760236,10.234832,10.228422,
2.320000,9.369826,9.833626,9.827360,
2.360000,8.995033,9.448148,9.442023,
2.400000,8.635232,9.077781,9.071796,
2.440000,8.289823,8.721932,8.716086,
2.480000,7.958230,8.380032,8.374323,
2.520000,7.639901,8.051535,8.045962,
2.560000,7.334305,7.735915,7.730475,
2.600000,7.040932,7.432667,7.427359,
2.640000,6.759295,7.141306,7.136128,
2.680000,6.488923,6.861367,6.856316,
2.720000,6.229366,6.592401,6.587476,
2.760000,5.980192,6.333979,6.329178,
2.800000,5.740984,6.085687,6.081007,
2.840000,5.511345,5.847128,5.842567,
2.880000,5.290891,5.617921,5.613477,
2.920000,5.079255,5.397698,5.393369,
2.960000,4.876085,5.186109,5.181892,
3.000000,4.681042,4.982813,4.978708,
3.040000,4.493800,4.787487,4.783490,
3.080000,4.314048,4.599817,4.595926,
3.120000,4.141486,4.419505,4.415717,
3.160000,3.975827,4.246260,4.242575,
3.200000,3.816794,4.079807,4.076221,
3.240000,3.664122,3.919878,3.916390,
3.280000,3.517557,3.766219,3.762826,
3.320000,3.376855,3.618583,3.615284,
3.360000,3.241781,3.476735,3.473526,
3.400000,3.112109,3.340447,3.337327,
3.440000,2.987625,3.209501,3.206469,
3.480000,2.868120,3.083689,3.080742,
3.520000,2.753395,2.962808,2.959944,
3.560000,2.643259,2.846666,2.843883,
