t,euler,rk2,rk4,
0.000000,100.000000,100.000000,100.000000,
0.200000,80.000000,82.000000,81.873333,
0.400000,64.000000,67.240000,67.032427,
0.600000,51.199999,55.136800,54.881682,
0.800000,40.959999,45.212175,44.933462,
1.000000,32.767999,37.073984,36.788523,
1.200000,26.214399,30.400667,30.119990,
1.400000,20.971519,24.928547,24.660240,
1.600000,16.777216,20.441408,20.190160,
1.800000,13.421772,16.761955,16.530357,
2.000000,10.737418,13.744803,13.533954,
2.200000,8.589934,11.270738,11.080700,
2.400000,6.871947,9.242005,9.072138,
2.600000,5.497558,7.578444,7.427662,
2.800000,4.398046,6.214324,6.081274,
3.000000,3.518437,5.095746,4.978942,
3.200000,2.814750,4.178512,4.076426,
3.400000,2.251800,3.426380,3.337506,
3.600000,1.801440,2.809631,2.732527,
3.800000,1.441152,2.303898,2.237211,
4.000000,1.152921,1.889196,1.831679,
4.200000,0.922337,1.549141,1.499657,
4.400000,0.737870,1.270295,1.227819,
4.600000,0.590296,1.041642,1.005256,
4.800000,0.472237,0.854147,0.823037,
5.000000,0.377789,0.700400,0.673848,
5.200000,0.302231,0.574328,0.551702,
5.400000,0.241785,0.470949,0.451696,
5.600000,0.193428,0.386178,0.369819,
