t,euler,rk2,rk4,
0.000000,100.000000,100.000000,100.000000,
0.020000,98.000000,98.020000,98.019867,
0.040000,96.040000,96.079204,96.078944,
0.060000,94.119200,94.176836,94.176453,
0.080000,92.236816,92.312135,92.311635,
0.100000,90.392080,90.484354,90.483742,
0.120000,88.584238,88.692764,88.692044,
0.140000,86.812554,86.936647,86.935824,
0.160000,85.076303,85.215302,85.214379,
0.180000,83.374777,83.528039,83.527021,
0.200000,81.707281,81.874184,81.873076,
0.220000,80.073135,80.253075,80.251880,
0.240000,78.471673,78.664064,78.662787,
0.260000,76.902239,77.106516,77.105159,
0.280000,75.364195,75.579807,75.578375,
0.300000,73.856911,74.083327,74.081823,
0.320000,72.379773,72.616477,72.614904,
0.340000,70.932177,71.178671,71.177033,
0.360000,69.513534,69.769333,69.767633,
0.380000,68.123263,68.387900,68.386142,
0.400000,66.760798,67.033820,67.032005,
0.420000,65.425582,65.706550,65.704683,
0.440000,64.117070,64.405561,64.403643,
0.460000,62.834729,63.130330,63.128365,
0.480000,61.578034,61.880350,61.878340,
0.500000,60.346474,60.655119,60.653067,
0.520000,59.139544,59.454148,59.452056,
0.540000,57.956753,58.276956,58.274826,
0.560000,56.797618,57.123072,57.120907,
0.580000,55.661666,55.992035,55.989837,
0.600000,54.548433,54.883393,54.881164,
0.620000,53.457464,53.796702,53.794445,
0.640000,52.388315,52.731527,52.729243,
0.660000,51.340549,51.687443,51.685134,
0.680000,50.313738,50.664031,50.661700,
0.700000,49.307463,49.660884,49.658531,
0.720000,48.321314,48.677598,48.675226,
0.740000,47.354887,47.713782,47.711392,
0.760000,46.407790,46.769049,46.766644,
0.780000,45.479634,45.843022,45.840602,
0.800000,44.570041,44.935330,44.932897,
0.820000,43.678640,44.045610,44.043166,
0.840000,42.805068,43.173507,43.171053,
0.860000,41.948966,42.318672,42.316209,
0.880000,41.109987,41.480762,41.478292,
0.900000,40.287787,40.659443,40.656967,
0.920000,39.482032,39.854386,39.851905,
0.940000,38.692391,39.065269,39.062784,
0.960000,37.918543,38.291777,38.289289,
0.980000,37.160172,37.533600,37.531111,
1.000000,36.416969,36.790435,36.787945,
1.020000,35.688629,36.061984,36.059495,
1.040000,34.974857,35.347957,35.345469,
1.060000,34.275360,34.648067,34.645582,
1.080000,33.589853,33.962036,33.959553,
1.100000,32.918056,33.289587,33.287109,
1.120000,32.259694,32.630453,32.627980,
1.140000,31.614501,31.984370,31.981903,
1.160000,30.982211,31.351080,31.348619,
1.180000,30.362566,30.730329,30.727875,
1.200000,29.755315,30.121868,30.119422,
1.220000,29.160209,29.525455,29.523018,
1.240000,28.577005,28.940851,28.938423,
1.260000,28.005465,28.367822,28.365403,
1.280000,27.445355,27.806139,27.803731,
1.300000,26.896448,27.255578,27.253180,
1.320000,26.358519,26.715917,26.713531,
1.340000,25.831349,26.186942,26.184568,
1.360000,25.314722,25.668441,25.666079,
1.380000,24.808427,25.160206,25.157856,
1.400000,24.312259,24.662034,24.659697,
1.420000,23.826014,24.173725,24.171403,
1.440000,23.349493,23.695086,23.692777,
1.460000,22.882504,23.225923,23.223628,
1.480000,22.424854,22.766050,22.763770,
1.500000,21.976357,22.315282,22.313017,
1.520000,21.536829,21.873439,21.871189,
1.540000,21.106093,21.440345,21.438111,
1.560000,20.683971,21.015826,21.013608,
1.580000,20.270292,20.599713,20.597511,
1.600000,19.864886,20.191839,20.189653,
1.620000,19.467588,19.792040,19.789871,
1.640000,19.078236,19.400158,19.398005,
1.660000,18.696672,19.016035,19.013899,
1.680000,18.322738,18.639517,18.637398,
1.700000,17.956283,18.270455,18.268353,
1.720000,17.597158,17.908700,17.906616,
1.740000,17.245215,17.554108,17.552041,
1.760000,16.900310,17.206536,17.204487,
1.780000,16.562304,16.865847,16.863815,
1.800000,16.231058,16.531903,16.529890,
1.820000,15.906437,16.204572,16.202576,
1.840000,15.588308,15.883721,15.881743,
1.860000,15.276542,15.569223,15.567264,
1.880000,14.971011,15.260953,15.259011,
1.900000,14.671591,14.958786,14.956863,
1.920000,14.378159,14.662602,14.660697,
1.940000,14.090596,14.372282,14.370396,
1.960000,13.808784,14.087711,14.085843,
1.980000,13.532608,13.808775,13.806924,
2.000000,13.261956,13.535361,13.533529,
2.020000,12.996717,13.267361,13.265547,
2.040000,12.736783,13.004667,13.002872,
