t,euler,rk2,rk4,
0.000000,100.000000,100.000000,100.000000,
0.050000,95.000000,95.125000,95.122943,
0.100000,90.250000,90.487656,90.483742,
0.150000,85.737500,86.076383,86.070798,
0.200000,81.450625,81.880159,81.873076,
0.250000,77.378093,77.888501,77.880079,
0.300000,73.509189,74.091437,74.081823,
0.350000,69.833729,70.479479,70.468810,
0.400000,66.342043,67.043605,67.032006,
0.450000,63.024941,63.775229,63.762816,
0.500000,59.873693,60.666186,60.653067,
0.550000,56.880009,57.708710,57.694982,
0.600000,54.036008,54.895410,54.881165,
0.650000,51.334208,52.219259,52.204579,
0.700000,48.767497,49.673570,49.658532,
0.750000,46.329122,47.251983,47.236657,
0.800000,44.012666,44.948449,44.932898,
0.850000,41.812033,42.757212,42.741495,
0.900000,39.721431,40.672798,40.656967,
0.950000,37.735360,38.689999,38.674104,
1.000000,35.848592,36.803862,36.787946,
1.050000,34.056162,35.009673,34.993776,
1.100000,32.353354,33.302952,33.287110,
1.150000,30.735686,31.679433,31.663678,
1.200000,29.198902,30.135060,30.119423,
1.250000,27.738957,28.665976,28.650481,
1.300000,26.352009,27.268510,27.253181,
1.350000,25.034408,25.939170,25.924027,
1.400000,23.782688,24.674635,24.659698,
1.450000,22.593554,23.471747,23.457030,
1.500000,21.463876,22.327499,22.313017,
1.550000,20.390682,21.239034,21.224799,
1.600000,19.371148,20.203631,20.189653,
1.650000,18.402591,19.218704,19.204992,
1.700000,17.482461,18.281792,18.268354,
1.750000,16.608338,17.390555,17.377396,
1.800000,15.777921,16.542765,16.529890,
1.850000,14.989025,15.736305,15.723718,
1.900000,14.239574,14.969160,14.956863,
1.950000,13.527595,14.239414,14.227408,
2.000000,12.851215,13.545242,13.533529,
2.050000,12.208654,12.884912,12.873491,
2.100000,11.598222,12.256772,12.245644,
2.150000,11.018311,11.659255,11.648417,
2.200000,10.467395,11.090866,11.080317,
2.250000,9.944025,10.550186,10.539923,
2.300000,9.446824,10.035865,10.025885,
2.350000,8.974483,9.546616,9.536917,
2.400000,8.525759,9.081219,9.071796,
2.450000,8.099471,8.638509,8.629359,
2.500000,7.694497,8.217382,8.208501,
2.550000,7.309772,7.816785,7.808167,
2.600000,6.944284,7.435716,7.427359,
2.650000,6.597070,7.073225,7.065122,
2.700000,6.267216,6.728405,6.720552,
2.750000,5.953855,6.400396,6.392787,
2.800000,5.656162,6.088376,6.081007,
2.850000,5.373354,5.791568,5.784433,
2.900000,5.104687,5.509229,5.502323,
2.950000,4.849452,5.240654,5.233971,
3.000000,4.606980,4.985172,4.978707,
3.050000,4.376631,4.742145,4.735893,
3.100000,4.157799,4.510966,4.504921,
3.150000,3.949909,4.291056,4.285213,
3.200000,3.752414,4.081867,4.076221,
3.250000,3.564793,3.882876,3.877421,
3.300000,3.386553,3.693586,3.688317,
3.350000,3.217226,3.513523,3.508436,
3.400000,3.056364,3.342239,3.337327,
3.450000,2.903546,3.179305,3.174564,
3.500000,2.758369,3.024314,3.019739,
3.550000,2.620450,2.876879,2.872464,
3.600000,2.489428,2.736631,2.732373,
3.650000,2.364957,2.603220,2.599113,
3.700000,2.246709,2.476313,2.472353,
3.750000,2.134373,2.355593,2.351775,
3.800000,2.027655,2.240758,2.237078,
3.850000,1.926272,2.131521,2.127974,
3.900000,1.829958,2.027609,2.024191,
3.950000,1.738460,1.928763,1.925470,
4.000000,1.651537,1.834736,1.831564,
4.050000,1.568960,1.745293,1.742238,
4.100000,1.490512,1.660210,1.657268,
4.150000,1.415987,1.579274,1.576442,
4.200000,1.345187,1.502285,1.499558,
4.250000,1.277928,1.429048,1.426424,
4.300000,1.214032,1.359382,1.356856,
4.350000,1.153330,1.293112,1.290681,
4.400000,1.095664,1.230073,1.227734,
4.450000,1.040880,1.170107,1.167857,
4.500000,0.988836,1.113064,1.110900,
4.550000,0.939395,1.058802,1.056721,
4.600000,0.892425,1.007186,1.005184,
4.650000,0.847804,0.958085,0.956160,
4.700000,0.805413,0.911379,0.909528,
4.750000,0.765143,0.866949,0.865170,
4.800000,0.726886,0.824685,0.822975,
4.850000,0.690541,0.784482,0.782838,
4.900000,0.656014,0.746238,0.744658,
4.950000,0.623214,0.709859,0.708341,
5.000000,0.592053,0.675254,0.673795,
5.050000,0.562450,0.642335,0.640933,
5.100000,0.534328,0.611021,0.609675,
5.150000,0.507611,0.581234,0.579941,
5.200000,0.482231,0.552899,0.551657,
5.250000,0.458119,0.525945,0.524752,
5.300000,0.435213,0.500305,0.499159,
5.350000,0.413453,0.475915,0.474815,
5.400000,0.392780,0.452714,0.451658,
5.450000,0.373141,0.430645,0.429631,
5.500000,0.354484,0.409651,0.408677,
5.550000,0.336760,0.389680,0.388746,
5.600000,0.319922,0.370683,0.369786,
5.650000,0.303926,0.352612,0.351752,
5.700000,0.288729,0.335423,0.334597,
5.750000,0.274293,0.319071,0.318278,
5.800000,0.260578,0.303516,0.302756,
5.850000,0.247549,0.288720,0.287990,
5.900000,0.235172,0.274645,0.273945,
