t,euler,rk2,rk4,
0.000000,100.000000,100.000000,100.000000,
0.250000,75.000000,78.125000,77.880859,
0.500000,56.250000,61.035156,60.654283,
0.750000,42.187500,47.683716,47.238077,
1.000000,31.640625,37.252903,36.789420,
1.250000,23.730469,29.103830,28.651916,
1.500000,17.797852,22.737368,22.314359,
1.750000,13.348389,17.763568,17.378614,
2.000000,10.011292,13.877788,13.534614,
2.250000,7.508469,10.842022,10.540874,
2.500000,5.631351,8.470329,8.209323,
2.750000,4.223514,6.617445,6.393491,
3.000000,3.167635,5.169879,4.979306,
3.250000,2.375726,4.038968,3.877926,
3.500000,1.781795,3.155444,3.020162,
3.750000,1.336346,2.465190,2.352128,
4.000000,1.002260,1.925930,1.831858,
4.250000,0.751695,1.504633,1.426667,
4.500000,0.563771,1.175494,1.111100,
4.750000,0.422828,0.918355,0.865334,
5.000000,0.317121,0.717465,0.673930,
5.250000,0.237841,0.560519,0.524862,
5.500000,0.178381,0.437906,0.408767,
5.750000,0.133786,0.342114,0.318352,
