t,euler,rk2,rk4,
0.000000,100.000000,100.000000,100.000000,
0.010000,99.000000,99.005000,99.004983,
0.020000,98.010000,98.019900,98.019867,
0.030000,97.029900,97.044602,97.044553,
0.040000,96.059601,96.079009,96.078944,
0.050000,95.099005,95.123022,95.122943,
0.060000,94.148015,94.176548,94.176453,
0.070000,93.206535,93.239492,93.239382,
0.080000,92.274470,92.311759,92.311635,
0.090000,91.351725,91.393257,91.393119,
0.100000,90.438208,90.483894,90.483742,
0.110000,89.533826,89.583579,89.583414,
0.120000,88.638487,88.692223,88.692044,
0.130000,87.752103,87.809735,87.809543,
0.140000,86.874582,86.936028,86.935824,
0.150000,86.005836,86.071015,86.070798,
0.160000,85.145777,85.214608,85.214379,
0.170000,84.294320,84.366723,84.366482,
0.180000,83.451376,83.527274,83.527021,
0.190000,82.616863,82.696178,82.695914,
0.200000,81.790694,81.873351,81.873076,
0.210000,80.972787,81.058711,81.058425,
0.220000,80.163059,80.252177,80.251880,
0.230000,79.361429,79.453668,79.453361,
0.240000,78.567815,78.663104,78.662787,
0.250000,77.782136,77.880406,77.880079,
0.260000,77.004315,77.105496,77.105159,
0.270000,76.234272,76.338296,76.337950,
0.280000,75.471929,75.578730,75.578375,
0.290000,74.717210,74.826722,74.826357,
0.300000,73.970038,74.082196,74.081823,
0.310000,73.230337,73.345078,73.344696,
0.320000,72.498034,72.615294,72.614904,
0.330000,71.773054,71.892772,71.892374,
0.340000,71.055323,71.177439,71.177033,
0.350000,70.344770,70.469224,70.468810,
0.360000,69.641322,69.768055,69.767633,
0.370000,68.944909,69.073863,69.073434,
0.380000,68.255460,68.386578,68.386142,
0.390000,67.572906,67.706131,67.705688,
0.400000,66.897176,67.032455,67.032005,
0.410000,66.228205,66.365483,66.365026,
0.420000,65.565923,65.705146,65.704683,
0.430000,64.910263,65.051380,65.050910,
0.440000,64.261161,64.404119,64.403643,
0.450000,63.618549,63.763298,63.762816,
0.460000,62.982364,63.128853,63.128365,
0.470000,62.352540,62.500721,62.500227,
0.480000,61.729015,61.878839,61.878340,
0.490000,61.111725,61.263144,61.262640,
0.500000,60.500607,60.653576,60.653067,
0.510000,59.895601,60.050073,60.049559,
0.520000,59.296645,59.452575,59.452055,
0.530000,58.703679,58.861022,58.860498,
0.540000,58.116642,58.275354,58.274826,
0.550000,57.535476,57.695515,57.694982,
0.560000,56.960121,57.121444,57.120907,
0.570000,56.390520,56.553086,56.552545,
0.580000,55.826615,55.990383,55.989837,
0.590000,55.268348,55.433278,55.432729,
0.600000,54.715665,54.881717,54.881164,
0.610000,54.168508,54.335644,54.335088,
0.620000,53.626823,53.795005,53.794445,
0.630000,53.090555,53.259744,53.259181,
0.640000,52.559650,52.729810,52.729243,
0.650000,52.034053,52.205148,52.204578,
0.660000,51.513713,51.685707,51.685134,
0.670000,50.998575,51.171434,51.170859,
0.680000,50.488590,50.662278,50.661700,
0.690000,49.983704,50.158189,50.157608,
0.700000,49.483867,49.659115,49.658531,
0.710000,48.989028,49.165007,49.164421,
0.720000,48.499138,48.675815,48.675226,
0.730000,48.014146,48.191491,48.190900,
0.740000,47.534005,47.711985,47.711392,
0.750000,47.058665,47.237251,47.236656,
0.760000,46.588078,46.767240,46.766643,
0.770000,46.122198,46.301906,46.301308,
0.780000,45.660976,45.841202,45.840602,
0.790000,45.204366,45.385082,45.384480,
0.800000,44.752322,44.933501,44.932897,
0.810000,44.304799,44.486413,44.485807,
0.820000,43.861751,44.043773,44.043166,
0.830000,43.423133,43.605537,43.604929,
0.840000,42.988902,43.171662,43.171053,
0.850000,42.559013,42.742104,42.741494,
0.860000,42.133423,42.316820,42.316209,
0.870000,41.712089,41.895768,41.895156,
0.880000,41.294968,41.478905,41.478292,
0.890000,40.882018,41.066190,41.065576,
0.900000,40.473198,40.657581,40.656967,
0.910000,40.068466,40.253038,40.252423,
0.920000,39.667781,39.852521,39.851905,
0.930000,39.271104,39.455988,39.455372,
0.940000,38.878393,39.063401,39.062784,
0.950000,38.489609,38.674720,38.674103,
0.960000,38.104713,38.289907,38.289289,
0.970000,37.723666,37.908922,37.908305,
0.980000,37.346429,37.531728,37.531111,
0.990000,36.972965,37.158288,37.157670,
1.000000,36.603235,36.788563,36.787945,
1.010000,36.237203,36.422517,36.421899,
1.020000,35.874831,36.060112,36.059495,
1.030000,35.516082,35.701314,35.700697,
1.040000,35.160921,35.346086,35.345469,
1.050000,34.809312,34.994393,34.993776,
1.060000,34.461219,34.646199,34.645582,
1.070000,34.116607,34.301469,34.300853,
1.080000,33.775441,33.960169,33.959553,
1.090000,33.437687,33.622266,33.621650,
1.100000,33.103310,33.287724,33.287109,
1.110000,32.772277,32.956511,32.955897,
1.120000,32.444554,32.628594,32.627980,
1.130000,32.120108,32.303939,32.303326,
1.140000,31.798907,31.982515,31.981903,
1.150000,31.480918,31.664289,31.663678,
1.160000,31.166109,31.349230,31.348619,
1.170000,30.854448,31.037305,31.036695,
